Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
114112,Business,Sophomore,2.914,6.9,Ideation,Intermediate,1,False,7.83,3,Allowed_With_Citation,5,3.281,74.35,Low
103827,Humanities,Junior,3.458,12.81,Copywriting/Drafting,Beginner,3,False,8.53,4,Actively_Encouraged,5,3.738,81.88,Medium
102884,STEM,Senior,3.266,8.95,Debugging/Troubleshooting,Intermediate,3,True,8.25,2,Actively_Encouraged,6,3.544,95.99,Medium
125120,Humanities,Junior,3.541,3.85,Debugging/Troubleshooting,Beginner,3,False,1.0,2,Allowed_With_Citation,2,3.767,49.02,Low
127070,Business,Freshman,2.84,15.01,Ideation,Intermediate,3,False,15.72,4,Actively_Encouraged,3,2.997,80.85,Medium
108609,Business,Junior,3.295,28.32,Summarizing_Reading,Advanced,4,True,17.69,4,Strict_Ban,7,3.771,89.77,High
101515,STEM,Junior,3.755,15.56,Copywriting/Drafting,Advanced,3,True,9.0,4,Actively_Encouraged,5,3.738,63.53,High
119455,Business,Junior,3.329,0.35,Direct_Answer_Generation,Advanced,3,False,12.03,1,Allowed_With_Citation,1,3.551,68.51,Low
145772,Business,Freshman,3.536,4.35,Debugging/Troubleshooting,Beginner,3,False,15.48,2,Allowed_With_Citation,5,3.848,79.29,Low
102223,STEM,Freshman,3.557,14.05,Debugging/Troubleshooting,Advanced,4,False,11.44,1,Actively_Encouraged,2,3.872,80.39,Low
107941,Humanities,Junior,3.406,0.54,Copywriting/Drafting,Intermediate,2,True,11.86,2,Actively_Encouraged,4,3.852,84.67,Low
146064,Business,Sophomore,2.541,22.89,Ideation,Beginner,2,True,11.42,6,Actively_Encouraged,4,2.762,84.99,Medium
120140,Humanities,Graduate,2.72,3.34,Direct_Answer_Generation,Beginner,1,True,7.4,3,Allowed_With_Citation,5,3.139,76.58,Medium
127999,STEM,Freshman,3.094,0.5,Summarizing_Reading,Advanced,3,False,3.04,4,Allowed_With_Citation,2,3.057,95.6,Low
107981,STEM,Junior,2.654,12.57,Debugging/Troubleshooting,Intermediate,4,True,1.83,6,Actively_Encouraged,5,2.804,81.61,High
131506,Arts,Senior,3.695,21.66,Debugging/Troubleshooting,Advanced,3,True,6.5,6,Allowed_With_Citation,4,3.921,100.0,Medium
123824,Arts,Junior,1.846,15.32,Copywriting/Drafting,Intermediate,3,False,13.42,3,Allowed_With_Citation,5,2.056,65.49,Medium
120399,Arts,Senior,2.983,0.2,Ideation,Beginner,2,False,12.38,2,Strict_Ban,5,3.326,77.28,High
104059,Medical,Senior,3.019,17.2,Debugging/Troubleshooting,Intermediate,3,True,8.99,3,Allowed_With_Citation,4,3.128,89.42,High
105221,STEM,Freshman,3.838,14.82,Direct_Answer_Generation,Advanced,5,True,13.5,2,Allowed_With_Citation,3,3.789,85.49,High
144333,Business,Graduate,2.503,0.26,Direct_Answer_Generation,Beginner,1,True,3.82,1,Actively_Encouraged,5,2.434,76.42,Low
119377,Arts,Senior,3.016,3.38,Direct_Answer_Generation,Advanced,5,False,17.8,3,Allowed_With_Citation,7,3.45,95.73,Low
121926,STEM,Senior,2.895,0.18,Debugging/Troubleshooting,Beginner,2,False,18.96,1,Allowed_With_Citation,3,3.247,65.1,Low
136106,Business,Junior,3.426,6.19,Debugging/Troubleshooting,Beginner,2,True,1.0,1,Allowed_With_Citation,2,3.599,71.56,Low
111012,Business,Senior,3.613,17.3,Ideation,Intermediate,4,True,9.48,5,Allowed_With_Citation,3,4.0,92.22,High
149333,Humanities,Graduate,3.485,1.07,Copywriting/Drafting,Beginner,2,False,12.76,2,Allowed_With_Citation,6,3.696,88.72,Medium
142480,Humanities,Graduate,2.38,11.04,Copywriting/Drafting,Beginner,2,True,12.95,5,Strict_Ban,7,2.465,45.67,Medium
106316,Medical,Senior,3.792,38.0,Ideation,Advanced,3,False,11.71,10,Allowed_With_Citation,5,4.0,92.76,High
136280,Medical,Graduate,3.879,10.36,Ideation,Intermediate,3,True,11.03,4,Actively_Encouraged,4,4.0,86.7,Medium
104046,Humanities,Sophomore,2.533,7.94,Copywriting/Drafting,Beginner,3,True,9.65,2,Allowed_With_Citation,1,2.698,59.86,Low
108830,STEM,Senior,3.372,33.81,Copywriting/Drafting,Beginner,2,False,4.11,7,Allowed_With_Citation,4,3.757,61.01,High
120990,Humanities,Junior,3.437,1.34,Ideation,Intermediate,3,False,15.42,4,Allowed_With_Citation,4,3.558,62.47,Low
106040,Arts,Sophomore,2.991,29.83,Copywriting/Drafting,Beginner,3,True,9.92,6,Actively_Encouraged,4,3.266,74.66,High
118805,STEM,Senior,2.925,3.93,Copywriting/Drafting,Intermediate,2,True,5.38,3,Strict_Ban,3,3.3,57.42,Low
131102,Arts,Freshman,2.133,26.63,Copywriting/Drafting,Beginner,1,True,9.95,5,Allowed_With_Citation,5,2.142,59.16,High
135707,STEM,Sophomore,3.145,6.99,Debugging/Troubleshooting,Intermediate,1,True,8.14,2,Actively_Encouraged,4,3.134,91.2,Low
109682,STEM,Senior,3.143,5.4,Direct_Answer_Generation,Advanced,5,False,7.68,4,Strict_Ban,3,3.611,81.13,Medium
149103,Arts,Graduate,3.115,0.45,Summarizing_Reading,Beginner,1,True,18.23,4,Actively_Encouraged,4,3.409,44.82,Medium
110300,Arts,Senior,2.011,9.6,Ideation,Beginner,1,False,17.39,4,Allowed_With_Citation,2,2.409,84.91,Medium
136862,STEM,Junior,3.151,5.89,Debugging/Troubleshooting,Intermediate,2,False,16.83,3,Allowed_With_Citation,7,3.597,72.12,Medium
142883,Humanities,Graduate,2.534,1.03,Debugging/Troubleshooting,Beginner,1,False,6.24,3,Allowed_With_Citation,2,2.569,77.64,High
141647,STEM,Junior,3.224,18.45,Copywriting/Drafting,Beginner,2,True,15.33,3,Allowed_With_Citation,1,3.575,70.47,Medium
149635,Humanities,Senior,3.334,12.69,Summarizing_Reading,Beginner,1,True,11.48,5,Strict_Ban,8,3.579,73.01,Low
139349,Business,Freshman,3.585,6.76,Direct_Answer_Generation,Beginner,1,False,10.61,4,Allowed_With_Citation,2,3.769,83.09,Medium
144737,Humanities,Freshman,3.622,3.62,Copywriting/Drafting,Intermediate,4,False,1.0,1,Allowed_With_Citation,5,3.624,68.67,Low
115957,Arts,Freshman,3.523,2.79,Direct_Answer_Generation,Intermediate,4,False,21.13,4,Allowed_With_Citation,4,3.561,55.31,Low
117813,STEM,Freshman,3.669,5.06,Ideation,Intermediate,2,False,4.77,4,Strict_Ban,5,3.682,91.53,Low
123016,STEM,Sophomore,2.735,21.97,Debugging/Troubleshooting,Advanced,5,False,9.47,8,Actively_Encouraged,5,2.813,78.45,Low
144264,Humanities,Senior,2.813,1.5,Direct_Answer_Generation,Beginner,3,True,16.45,4,Allowed_With_Citation,5,3.456,82.86,Medium
108987,Humanities,Senior,3.368,1.02,Debugging/Troubleshooting,Advanced,5,False,12.7,3,Allowed_With_Citation,1,3.723,87.21,Low
125961,Arts,Freshman,2.975,4.18,Ideation,Intermediate,3,False,3.37,3,Allowed_With_Citation,3,2.711,80.41,Low
103005,Business,Graduate,3.275,2.84,Copywriting/Drafting,Beginner,2,False,18.49,4,Actively_Encouraged,2,3.489,84.28,Low
121968,Arts,Sophomore,3.583,13.1,Copywriting/Drafting,Advanced,4,False,15.77,5,Strict_Ban,5,3.773,100.0,High
107731,Business,Freshman,3.013,1.57,Copywriting/Drafting,Intermediate,2,True,1.03,4,Allowed_With_Citation,6,2.961,63.17,Medium
119359,Humanities,Senior,3.236,2.1,Copywriting/Drafting,Beginner,1,False,19.65,1,Allowed_With_Citation,2,3.444,63.4,Low
108088,Business,Sophomore,2.997,31.4,Debugging/Troubleshooting,Advanced,4,True,1.0,7,Strict_Ban,7,3.051,74.12,High
111103,Arts,Sophomore,1.707,2.46,Copywriting/Drafting,Beginner,2,False,3.81,3,Actively_Encouraged,3,1.676,78.87,Low
100678,Humanities,Freshman,3.782,6.79,Summarizing_Reading,Beginner,2,True,15.29,5,Actively_Encouraged,3,4.0,84.3,Medium
112099,Business,Junior,2.692,7.25,Direct_Answer_Generation,Beginner,1,True,10.0,2,Allowed_With_Citation,4,2.823,73.5,Medium
133112,STEM,Graduate,3.718,9.01,Debugging/Troubleshooting,Advanced,5,False,11.59,2,Actively_Encouraged,2,4.0,100.0,Low
106699,Arts,Freshman,3.459,2.02,Copywriting/Drafting,Beginner,3,False,5.03,3,Allowed_With_Citation,6,3.574,73.34,Medium
132015,Business,Freshman,2.443,7.45,Ideation,Advanced,4,False,11.85,3,Allowed_With_Citation,6,2.924,54.17,High
148189,Arts,Junior,2.871,9.2,Ideation,Beginner,2,False,16.68,4,Actively_Encouraged,6,3.098,71.17,Low
136401,Humanities,Senior,3.49,6.35,Ideation,Intermediate,1,False,12.24,3,Allowed_With_Citation,5,3.566,94.99,High
133032,Business,Junior,3.783,10.87,Direct_Answer_Generation,Beginner,2,False,13.81,4,Allowed_With_Citation,6,3.929,80.91,High
135100,STEM,Freshman,3.666,2.1,Debugging/Troubleshooting,Beginner,1,False,15.31,1,Allowed_With_Citation,3,3.715,87.09,Low
110398,Business,Sophomore,2.904,0.66,Ideation,Beginner,1,False,13.74,1,Allowed_With_Citation,3,3.363,69.35,Medium
134392,Medical,Sophomore,3.257,0.27,Summarizing_Reading,Beginner,1,True,7.84,2,Strict_Ban,5,3.262,74.05,High
107455,Medical,Graduate,3.959,0.62,Debugging/Troubleshooting,Intermediate,5,False,7.58,3,Allowed_With_Citation,6,3.901,62.31,High
144573,Humanities,Senior,3.132,0.3,Copywriting/Drafting,Advanced,4,False,21.29,1,Actively_Encouraged,1,3.421,77.55,Low
108603,Arts,Graduate,2.866,3.61,Direct_Answer_Generation,Beginner,3,False,12.92,2,Strict_Ban,1,3.303,65.96,Medium
147805,Arts,Sophomore,3.334,29.52,Debugging/Troubleshooting,Beginner,2,True,11.33,7,Allowed_With_Citation,3,3.452,63.23,High
132243,STEM,Freshman,3.177,40.0,Summarizing_Reading,Beginner,2,True,14.35,8,Allowed_With_Citation,5,3.614,63.45,High
101724,STEM,Freshman,3.369,4.14,Direct_Answer_Generation,Beginner,2,False,13.23,3,Allowed_With_Citation,2,3.584,78.94,Medium
113643,Business,Freshman,3.449,7.93,Debugging/Troubleshooting,Intermediate,4,False,10.52,3,Allowed_With_Citation,4,3.624,87.7,Low
103590,STEM,Sophomore,3.345,4.7,Debugging/Troubleshooting,Advanced,3,False,17.68,3,Actively_Encouraged,7,3.894,100.0,Low
141909,Humanities,Junior,3.303,0.17,Copywriting/Drafting,Intermediate,3,False,19.0,1,Allowed_With_Citation,2,3.65,76.58,Medium
142007,Medical,Freshman,3.28,12.97,Direct_Answer_Generation,Beginner,2,True,12.02,4,Actively_Encouraged,4,3.275,85.62,Medium
133319,Business,Senior,3.429,1.97,Summarizing_Reading,Intermediate,1,False,16.61,3,Actively_Encouraged,4,3.764,73.05,Medium
132192,STEM,Junior,3.096,2.08,Debugging/Troubleshooting,Advanced,3,False,6.58,4,Actively_Encouraged,4,3.182,93.44,High
145617,STEM,Senior,2.22,2.33,Debugging/Troubleshooting,Advanced,3,False,10.9,1,Allowed_With_Citation,4,2.517,83.22,High
146398,Arts,Freshman,3.106,2.26,Copywriting/Drafting,Beginner,1,False,16.74,1,Allowed_With_Citation,4,3.396,55.92,Low
106973,STEM,Graduate,3.182,8.07,Summarizing_Reading,Intermediate,3,False,15.14,3,Allowed_With_Citation,3,3.731,69.07,Medium
124202,STEM,Senior,3.318,10.01,Debugging/Troubleshooting,Advanced,3,False,11.89,4,Strict_Ban,5,3.542,87.92,High
102570,Medical,Sophomore,3.276,11.85,Summarizing_Reading,Advanced,5,False,2.55,4,Strict_Ban,2,3.402,73.94,High
135357,Humanities,Junior,3.325,19.59,Ideation,Intermediate,4,False,4.17,5,Allowed_With_Citation,4,3.432,96.36,Low
144960,Arts,Graduate,3.895,7.79,Copywriting/Drafting,Advanced,4,False,17.14,5,Actively_Encouraged,5,4.0,100.0,High
126984,Business,Junior,3.556,10.8,Direct_Answer_Generation,Intermediate,3,True,10.28,3,Allowed_With_Citation,4,4.0,71.94,Medium
126835,Arts,Sophomore,3.617,6.68,Copywriting/Drafting,Beginner,1,False,6.83,3,Allowed_With_Citation,4,4.0,79.42,Medium
143732,Arts,Sophomore,3.839,0.36,Debugging/Troubleshooting,Advanced,4,False,5.26,2,Allowed_With_Citation,3,4.0,98.8,Low
148165,STEM,Freshman,3.249,22.88,Direct_Answer_Generation,Intermediate,3,True,4.87,5,Actively_Encouraged,6,2.889,52.03,High
146912,STEM,Junior,3.769,2.7,Debugging/Troubleshooting,Advanced,3,False,25.39,3,Actively_Encouraged,1,4.0,96.39,Medium
103624,Medical,Senior,3.35,12.53,Direct_Answer_Generation,Advanced,5,False,4.58,1,Actively_Encouraged,1,3.601,78.17,Medium
102351,Business,Senior,3.268,18.28,Ideation,Beginner,2,False,8.87,6,Strict_Ban,8,3.188,74.99,High
138094,Business,Freshman,3.738,8.22,Debugging/Troubleshooting,Advanced,3,True,7.89,2,Strict_Ban,4,3.977,100.0,Medium
107538,Humanities,Junior,3.679,5.66,Ideation,Advanced,3,False,4.63,3,Actively_Encouraged,6,3.707,100.0,Medium
118013,Arts,Senior,3.466,25.02,Summarizing_Reading,Intermediate,2,False,8.93,6,Allowed_With_Citation,10,3.871,52.97,High
127135,STEM,Freshman,2.228,6.11,Debugging/Troubleshooting,Advanced,3,False,18.08,3,Actively_Encouraged,4,2.493,75.56,Medium
111675,STEM,Sophomore,3.729,0.18,Summarizing_Reading,Beginner,2,False,10.53,1,Allowed_With_Citation,1,3.606,79.27,Low
144404,Business,Sophomore,2.776,3.07,Debugging/Troubleshooting,Intermediate,3,True,12.89,2,Allowed_With_Citation,3,3.211,81.76,Low
148781,STEM,Sophomore,3.194,5.83,Debugging/Troubleshooting,Advanced,3,False,14.34,2,Strict_Ban,1,3.472,93.14,Low
122009,Business,Junior,3.118,15.87,Ideation,Advanced,4,False,11.39,6,Allowed_With_Citation,5,3.362,79.97,Medium
125779,Business,Sophomore,3.571,40.0,Ideation,Beginner,2,True,1.0,8,Actively_Encouraged,1,3.422,58.37,High
122501,Humanities,Senior,2.006,19.25,Copywriting/Drafting,Advanced,4,True,14.54,5,Allowed_With_Citation,5,2.722,57.43,High
120088,STEM,Junior,3.131,8.73,Debugging/Troubleshooting,Beginner,2,False,16.15,2,Actively_Encouraged,1,3.385,78.68,Medium
136077,STEM,Freshman,3.692,1.57,Debugging/Troubleshooting,Beginner,2,False,12.38,3,Actively_Encouraged,4,3.891,71.01,Low
106556,Business,Graduate,2.84,0.93,Ideation,Beginner,1,False,17.63,2,Actively_Encouraged,2,2.982,69.14,Medium
138134,Business,Junior,3.324,9.85,Ideation,Intermediate,3,False,15.3,6,Strict_Ban,5,3.515,79.32,Low
111855,Business,Freshman,3.646,6.72,Ideation,Intermediate,2,True,20.75,2,Actively_Encouraged,2,3.915,71.0,Low
135505,STEM,Junior,3.293,12.18,Ideation,Beginner,1,False,13.82,6,Actively_Encouraged,5,3.505,67.94,Low
131785,Business,Graduate,3.398,0.23,Direct_Answer_Generation,Intermediate,4,True,5.96,5,Allowed_With_Citation,3,3.595,65.97,Low
119389,Humanities,Graduate,3.82,1.59,Direct_Answer_Generation,Beginner,3,True,14.7,4,Allowed_With_Citation,2,4.0,72.83,Low
138722,Business,Senior,3.507,5.53,Ideation,Intermediate,4,True,9.27,3,Actively_Encouraged,5,3.796,69.38,Low
121048,Arts,Junior,2.729,6.43,Summarizing_Reading,Intermediate,3,False,14.25,4,Allowed_With_Citation,5,3.066,53.74,Low
139919,Humanities,Freshman,2.632,2.74,Summarizing_Reading,Beginner,2,True,1.26,1,Allowed_With_Citation,5,2.654,48.76,Medium
100733,Business,Junior,2.517,0.25,Direct_Answer_Generation,Advanced,3,False,20.21,3,Strict_Ban,4,2.722,74.18,Medium
129449,STEM,Freshman,2.567,1.48,Debugging/Troubleshooting,Intermediate,2,False,19.27,2,Allowed_With_Citation,6,2.779,87.82,Medium
130856,Humanities,Senior,3.604,0.2,Copywriting/Drafting,Beginner,2,True,14.72,1,Allowed_With_Citation,1,4.0,80.75,Low
107850,STEM,Sophomore,3.374,30.75,Summarizing_Reading,Advanced,5,False,13.63,8,Strict_Ban,10,3.78,50.09,High
114715,Business,Senior,2.538,21.14,Copywriting/Drafting,Beginner,1,True,11.28,4,Allowed_With_Citation,1,2.857,92.82,Medium
131598,STEM,Junior,3.636,6.49,Debugging/Troubleshooting,Beginner,2,False,6.95,1,Strict_Ban,4,3.763,59.62,Medium
111841,STEM,Graduate,3.248,8.73,Debugging/Troubleshooting,Beginner,3,False,9.33,4,Strict_Ban,2,3.473,76.83,High
138646,Arts,Graduate,2.566,11.56,Summarizing_Reading,Intermediate,2,False,9.01,5,Strict_Ban,9,2.736,62.84,Medium
111989,Arts,Freshman,2.868,2.03,Direct_Answer_Generation,Beginner,1,False,8.47,1,Allowed_With_Citation,3,2.574,63.8,Medium
144868,Humanities,Freshman,3.932,3.27,Direct_Answer_Generation,Intermediate,2,False,15.07,2,Strict_Ban,4,3.989,93.94,Medium
102110,Medical,Junior,3.111,26.81,Summarizing_Reading,Beginner,1,False,2.24,7,Actively_Encouraged,6,3.328,50.33,Medium
113197,Medical,Junior,3.479,3.76,Debugging/Troubleshooting,Beginner,1,True,6.32,3,Allowed_With_Citation,6,3.526,65.82,High
147707,Medical,Graduate,3.151,6.14,Summarizing_Reading,Advanced,3,False,17.52,6,Allowed_With_Citation,5,3.643,99.03,High
145693,Humanities,Senior,2.818,12.46,Copywriting/Drafting,Intermediate,2,True,6.7,4,Actively_Encouraged,4,3.027,64.33,Medium
102055,Arts,Graduate,3.318,3.14,Ideation,Intermediate,3,False,16.32,1,Strict_Ban,2,3.668,70.51,Low
101058,Humanities,Sophomore,3.02,1.56,Ideation,Advanced,3,False,11.69,3,Allowed_With_Citation,7,3.138,63.21,Medium
133607,Business,Graduate,3.398,2.45,Ideation,Beginner,3,False,11.72,4,Actively_Encouraged,3,3.672,69.1,Low
146065,STEM,Junior,2.446,1.41,Ideation,Advanced,3,False,9.03,1,Allowed_With_Citation,1,2.71,76.72,Medium
132675,Humanities,Graduate,3.454,1.94,Direct_Answer_Generation,Beginner,3,True,17.73,3,Allowed_With_Citation,4,3.76,83.13,Medium
134649,Medical,Sophomore,3.175,10.83,Ideation,Beginner,2,True,10.31,4,Actively_Encouraged,5,3.442,65.68,Medium
103807,Humanities,Junior,3.258,0.82,Debugging/Troubleshooting,Beginner,1,False,11.13,3,Strict_Ban,1,3.554,81.64,Low
130635,Business,Freshman,3.632,7.3,Ideation,Advanced,3,True,9.22,2,Strict_Ban,4,3.725,100.0,Medium
102076,Medical,Junior,2.016,2.02,Ideation,Beginner,2,False,15.9,4,Allowed_With_Citation,4,2.356,58.88,Medium
143990,STEM,Sophomore,3.523,9.26,Debugging/Troubleshooting,Beginner,2,False,19.56,4,Actively_Encouraged,8,3.735,72.95,Medium
112422,Humanities,Senior,2.397,6.39,Copywriting/Drafting,Beginner,1,False,23.22,2,Allowed_With_Citation,3,2.858,86.78,Medium
128677,Business,Graduate,2.787,11.51,Summarizing_Reading,Beginner,2,True,7.46,2,Allowed_With_Citation,4,3.021,78.74,High
132946,Business,Senior,2.154,3.95,Summarizing_Reading,Beginner,1,False,8.32,3,Strict_Ban,4,2.387,61.4,Low
121604,STEM,Junior,2.9,4.8,Debugging/Troubleshooting,Intermediate,3,False,3.33,5,Allowed_With_Citation,5,3.054,54.37,Medium
138484,Business,Freshman,2.635,4.05,Ideation,Beginner,2,True,16.86,1,Allowed_With_Citation,2,3.076,48.83,High
139116,Humanities,Sophomore,2.899,12.02,Copywriting/Drafting,Beginner,2,True,6.26,4,Allowed_With_Citation,2,3.084,57.6,Medium
142129,Business,Freshman,3.235,10.6,Summarizing_Reading,Beginner,3,False,14.58,2,Allowed_With_Citation,6,3.485,55.87,Medium
128552,Business,Freshman,2.913,5.7,Ideation,Intermediate,1,False,15.48,3,Allowed_With_Citation,3,3.086,74.88,Medium
104563,Medical,Junior,2.411,5.94,Direct_Answer_Generation,Beginner,2,False,4.13,4,Actively_Encouraged,5,2.455,84.49,High
102684,Humanities,Freshman,3.423,7.56,Copywriting/Drafting,Advanced,3,True,10.68,2,Allowed_With_Citation,5,3.572,88.71,Low
139817,Medical,Junior,2.876,19.68,Debugging/Troubleshooting,Advanced,5,True,15.63,6,Actively_Encouraged,6,3.53,96.68,High
135649,STEM,Freshman,3.065,8.75,Summarizing_Reading,Beginner,2,False,12.36,4,Allowed_With_Citation,7,3.283,96.26,High
102282,Humanities,Sophomore,3.573,11.09,Debugging/Troubleshooting,Intermediate,3,False,3.49,4,Allowed_With_Citation,1,3.693,79.6,High
144073,Business,Junior,3.823,12.76,Copywriting/Drafting,Beginner,1,False,11.65,7,Strict_Ban,9,3.989,69.34,Medium
109842,Medical,Senior,3.703,7.72,Ideation,Beginner,2,False,3.46,1,Allowed_With_Citation,1,4.0,82.68,High
120984,Arts,Freshman,2.942,14.64,Debugging/Troubleshooting,Advanced,3,True,10.27,7,Allowed_With_Citation,5,3.475,84.76,Low
118660,Medical,Freshman,3.676,8.32,Copywriting/Drafting,Intermediate,4,False,9.68,4,Allowed_With_Citation,7,3.554,77.64,Low
139830,Humanities,Sophomore,3.569,11.04,Copywriting/Drafting,Advanced,3,True,12.14,3,Allowed_With_Citation,2,4.0,84.28,Medium
100070,Medical,Graduate,2.838,9.62,Copywriting/Drafting,Beginner,1,True,7.64,5,Allowed_With_Citation,5,2.951,65.48,Low
102196,Humanities,Senior,3.436,14.42,Ideation,Advanced,3,True,13.67,5,Strict_Ban,10,3.871,94.39,Medium
119858,Arts,Junior,3.151,2.5,Direct_Answer_Generation,Intermediate,3,False,9.31,1,Allowed_With_Citation,3,3.289,65.47,Low
111421,Business,Graduate,3.675,3.13,Copywriting/Drafting,Beginner,2,False,12.93,4,Actively_Encouraged,6,3.862,70.65,High
109852,Medical,Graduate,3.721,20.78,Summarizing_Reading,Beginner,2,False,15.87,6,Allowed_With_Citation,3,4.0,65.23,High
134849,STEM,Senior,3.462,1.7,Summarizing_Reading,Advanced,3,False,10.7,3,Allowed_With_Citation,3,3.696,89.16,Low
104004,STEM,Sophomore,3.734,33.31,Debugging/Troubleshooting,Advanced,3,True,4.93,9,Strict_Ban,6,3.895,72.44,High
128872,Business,Senior,3.617,11.84,Ideation,Beginner,2,False,11.11,3,Strict_Ban,5,3.682,45.89,High
121491,Business,Junior,2.187,6.8,Direct_Answer_Generation,Beginner,3,True,12.39,3,Actively_Encouraged,8,2.371,45.25,Medium
135392,Medical,Graduate,1.991,4.19,Copywriting/Drafting,Intermediate,2,False,8.44,2,Actively_Encouraged,1,2.161,57.16,High
106663,Humanities,Freshman,3.542,3.15,Direct_Answer_Generation,Beginner,3,False,8.2,3,Actively_Encouraged,5,3.332,81.86,Medium
141716,Humanities,Senior,3.235,1.76,Copywriting/Drafting,Beginner,1,False,11.12,1,Actively_Encouraged,2,3.433,83.29,Medium
115231,STEM,Sophomore,3.296,8.81,Copywriting/Drafting,Advanced,5,True,10.92,2,Allowed_With_Citation,3,3.525,87.66,Low
115036,Arts,Sophomore,3.736,10.11,Debugging/Troubleshooting,Advanced,4,True,8.12,5,Actively_Encouraged,5,4.0,84.44,Low
125125,Business,Sophomore,3.432,18.48,Ideation,Advanced,4,True,13.98,5,Allowed_With_Citation,2,3.728,73.81,High
130043,Business,Freshman,3.569,6.92,Copywriting/Drafting,Advanced,4,True,15.21,2,Allowed_With_Citation,2,3.879,75.02,Medium
144530,Business,Sophomore,2.311,0.01,Summarizing_Reading,Intermediate,1,True,13.34,4,Actively_Encouraged,4,2.31,63.0,Low
105509,STEM,Graduate,3.504,5.02,Direct_Answer_Generation,Beginner,2,False,24.57,1,Allowed_With_Citation,3,3.766,59.74,Low
105512,Medical,Sophomore,3.274,0.61,Ideation,Beginner,2,False,16.07,1,Allowed_With_Citation,5,3.576,68.27,Medium
129683,Business,Graduate,2.982,4.55,Copywriting/Drafting,Advanced,5,False,10.86,1,Strict_Ban,1,3.317,74.69,Medium
113729,STEM,Freshman,3.329,5.08,Debugging/Troubleshooting,Advanced,4,False,13.82,2,Allowed_With_Citation,1,3.608,100.0,Medium
142133,Humanities,Sophomore,3.359,4.64,Ideation,Advanced,3,True,6.59,3,Allowed_With_Citation,2,3.367,74.13,Medium
125943,Medical,Freshman,3.183,1.24,Copywriting/Drafting,Beginner,1,True,8.37,1,Actively_Encouraged,1,3.493,77.24,Medium
143697,STEM,Senior,3.044,25.15,Ideation,Beginner,1,False,1.0,7,Allowed_With_Citation,6,3.22,77.93,High
100243,Medical,Junior,3.267,1.62,Summarizing_Reading,Advanced,3,False,8.63,5,Actively_Encouraged,2,3.52,73.95,Medium
111648,Humanities,Senior,3.934,13.59,Copywriting/Drafting,Intermediate,3,True,10.1,5,Allowed_With_Citation,4,4.0,52.83,High
119635,Humanities,Sophomore,2.8,1.02,Copywriting/Drafting,Advanced,4,True,13.42,1,Actively_Encouraged,1,3.141,71.66,Low
139086,STEM,Sophomore,3.556,3.79,Copywriting/Drafting,Intermediate,3,False,19.4,4,Allowed_With_Citation,5,3.711,75.5,Low
